date,Open,High,Low,Close,Adj Close,Volume,gme_percentage_change
2020-04-13,4.25,4.76,4.16,4.74,4.74,6844500,0.2552742616033755
2020-04-14,5.21,6.47,5.14,5.95,5.95,13506600,-0.11428571428571438
2020-04-15,5.66,5.67,4.9,5.27,5.27,7499900,-0.04554079696394674
2020-04-16,5.12,5.44,4.88,5.03,5.03,3371900,-0.02982107355864818
2020-04-17,5.22,5.28,4.43,4.88,4.88,5653200,0.1495901639344263
2020-04-20,4.85,5.9,4.78,5.61,5.61,6085000,-0.14795008912655971
2020-04-21,5.23,5.3,4.76,4.78,4.78,4142100,0.02301255230125511
2020-04-22,5.14,5.17,4.83,4.89,4.89,2677800,-0.03885480572597127
2020-04-23,4.75,4.89,4.58,4.7,4.7,2265900,0.014893617021276466
2020-04-24,4.78,4.85,4.66,4.77,4.77,2236200,0.22012578616352219
2020-04-27,4.85,5.99,4.81,5.82,5.82,7275100,-0.030927835051546494
2020-04-28,5.92,6.04,5.06,5.64,5.64,5200200,0.0709219858156029
2020-04-29,5.83,6.09,5.45,6.04,6.04,3369600,-0.051324503311258214
2020-04-30,5.87,5.98,5.64,5.73,5.73,2173300,0.055846422338568825
2020-05-01,5.65,6.18,5.45,6.05,6.05,4005600,-0.09421487603305775
2020-05-04,5.84,5.93,5.4,5.48,5.48,4068100,-0.016423357664233713
2020-05-05,5.55,5.63,5.35,5.39,5.39,2105900,-0.08534322820037106
2020-05-06,5.4,5.4,4.9,4.93,4.93,3369600,-0.012170385395537447
2020-05-07,4.83,4.93,4.65,4.87,4.87,2500800,0.0225872689938399
2020-05-08,4.88,5.19,4.82,4.98,4.98,2353700,-0.04417670682730936
2020-05-11,4.92,4.96,4.75,4.76,4.76,1699200,-0.04621848739495793
2020-05-12,4.78,4.92,4.46,4.54,4.54,2639200,-0.07268722466960353
2020-05-13,4.54,4.54,4.07,4.21,4.21,2882900,-0.019002375296912132
2020-05-14,4.15,4.19,3.96,4.13,4.13,2004900,0.021791767554479386
2020-05-15,4.05,4.45,4.04,4.22,4.22,1940600,0.08530805687203799
2020-05-18,4.4,4.63,4.36,4.58,4.58,2371700,-0.03056768558951958
2020-05-19,4.58,4.75,4.37,4.44,4.44,1840700,-0.002252252252252404
2020-05-20,4.5,4.69,4.34,4.43,4.43,2543600,0.0022573363431152766
2020-05-21,4.45,4.65,4.4,4.44,4.44,1971900,-0.0585585585585587
